12-50-57-516729 | Run Id: auto_lr_low
12-50-57-522150 | Deployment notes: auto with 16 joints, root differences
12-50-57-524864 | Running mode: 0
12-50-57-525890 | Running model: autoencoder
12-50-57-526411 | Batch size: 1000
12-50-57-526522 | Sequence size: 50
12-50-57-527149 | Starting Time:12-50-57-516610
12-50-57-531256 | size of training data:100714.000000
12-50-57-531386 | size of test data:100446.000000
12-50-57-532532 | Model build started
12-51-02-833858 | Number of parameters: 2150448
12-51-02-833979 | Training started
12-51-10-123573 | TRAIN--> epoch 0 | error 2988.915158
12-51-21-116605 | VAL--> epoch 1 | error 0.191197, 100.000000
12-51-28-547987 | TRAIN--> epoch 1 | error 1917.192066
12-51-39-515058 | VAL--> epoch 2 | error 0.151926, 100.000000
12-51-46-650313 | TRAIN--> epoch 2 | error 1205.678368
12-51-57-623674 | VAL--> epoch 3 | error 0.120457, 100.000000
12-52-05-282376 | TRAIN--> epoch 3 | error 785.387436
12-52-16-406123 | VAL--> epoch 4 | error 0.097999, 100.000000
12-52-24-070077 | TRAIN--> epoch 4 | error 558.170431
12-52-35-099046 | VAL--> epoch 5 | error 0.083369, 100.000000
12-52-42-118564 | TRAIN--> epoch 5 | error 434.628858
12-52-53-173854 | VAL--> epoch 6 | error 0.073782, 100.000000
12-53-00-607509 | TRAIN--> epoch 6 | error 358.789471
12-53-11-706322 | VAL--> epoch 7 | error 0.066732, 100.000000
12-53-19-136774 | TRAIN--> epoch 7 | error 305.833833
12-53-30-170682 | VAL--> epoch 8 | error 0.061045, 100.000000
12-53-37-136059 | TRAIN--> epoch 8 | error 266.080574
12-53-48-212611 | VAL--> epoch 9 | error 0.056299, 100.000000
12-53-55-788510 | TRAIN--> epoch 9 | error 235.862540
12-54-06-897330 | VAL--> epoch 10 | error 0.052334, 100.000000
12-54-14-266665 | TRAIN--> epoch 10 | error 212.609607
12-54-25-326495 | VAL--> epoch 11 | error 0.049021, 100.000000
12-54-32-814741 | TRAIN--> epoch 11 | error 194.888837
12-54-43-877017 | VAL--> epoch 12 | error 0.046232, 100.000000
12-54-50-937104 | TRAIN--> epoch 12 | error 180.597862
12-55-01-940140 | VAL--> epoch 13 | error 0.043860, 100.000000
12-55-09-442338 | TRAIN--> epoch 13 | error 168.896726
12-55-20-487938 | VAL--> epoch 14 | error 0.041843, 100.000000
12-55-27-394893 | TRAIN--> epoch 14 | error 159.596635
12-55-38-444573 | VAL--> epoch 15 | error 0.040100, 100.000000
12-55-45-675112 | TRAIN--> epoch 15 | error 151.907771
12-55-56-738276 | VAL--> epoch 16 | error 0.038598, 100.000000
12-56-03-898720 | TRAIN--> epoch 16 | error 145.063138
12-56-14-971187 | VAL--> epoch 17 | error 0.037259, 100.000000
12-56-22-309275 | TRAIN--> epoch 17 | error 139.206148
12-56-33-373586 | VAL--> epoch 18 | error 0.036074, 100.000000
12-56-40-292744 | TRAIN--> epoch 18 | error 134.122623
12-56-51-339299 | VAL--> epoch 19 | error 0.035017, 100.000000
12-56-58-679625 | TRAIN--> epoch 19 | error 129.732200
12-57-09-698064 | VAL--> epoch 20 | error 0.034083, 100.000000
12-57-16-925139 | TRAIN--> epoch 20 | error 125.851955
12-57-27-938232 | VAL--> epoch 21 | error 0.033238, 100.000000
12-57-34-823201 | TRAIN--> epoch 21 | error 122.113212
12-57-45-865406 | VAL--> epoch 22 | error 0.032458, 100.000000
12-57-53-475955 | TRAIN--> epoch 22 | error 119.209083
12-58-04-569584 | VAL--> epoch 23 | error 0.031772, 100.000000
12-58-12-019102 | TRAIN--> epoch 23 | error 116.338005
12-58-23-092427 | VAL--> epoch 24 | error 0.031122, 100.000000
12-58-30-700218 | TRAIN--> epoch 24 | error 113.651946
12-58-41-794334 | VAL--> epoch 25 | error 0.030525, 100.000000
12-58-48-842592 | TRAIN--> epoch 25 | error 111.349346
12-58-59-919200 | VAL--> epoch 26 | error 0.029993, 100.000000
12-59-07-299478 | TRAIN--> epoch 26 | error 109.002945
12-59-18-359414 | VAL--> epoch 27 | error 0.029497, 100.000000
12-59-25-591160 | TRAIN--> epoch 27 | error 106.893939
12-59-36-678989 | VAL--> epoch 28 | error 0.029022, 100.000000
12-59-44-075075 | TRAIN--> epoch 28 | error 105.020007
12-59-55-166344 | VAL--> epoch 29 | error 0.028552, 100.000000
13-00-02-137669 | TRAIN--> epoch 29 | error 103.050220
13-00-13-163688 | VAL--> epoch 30 | error 0.028166, 100.000000
13-00-20-460255 | TRAIN--> epoch 30 | error 101.286861
13-00-31-515557 | VAL--> epoch 31 | error 0.027768, 100.000000
13-00-38-896782 | TRAIN--> epoch 31 | error 99.595138
13-00-49-962340 | VAL--> epoch 32 | error 0.027381, 100.000000
13-00-57-338014 | TRAIN--> epoch 32 | error 98.110478
13-01-08-415716 | VAL--> epoch 33 | error 0.027048, 100.000000
13-01-15-979069 | TRAIN--> epoch 33 | error 96.624860
13-01-27-053622 | VAL--> epoch 34 | error 0.026684, 100.000000
13-01-34-316438 | TRAIN--> epoch 34 | error 95.262517
13-01-45-415518 | VAL--> epoch 35 | error 0.026385, 100.000000
