13-52-09-929743 | Run Id: auto_lr_low
13-52-10-465886 | Deployment notes: auto with 16 joints, root differences
13-52-10-476810 | Running mode: 0
13-52-10-483921 | Running model: autoencoder
13-52-10-488321 | Batch size: 1000
13-52-10-491397 | Sequence size: 50
13-52-10-495866 | Starting Time:13-52-09-929656
13-52-10-499451 | size of training data:1559752.000000
13-52-10-501621 | size of test data:550644.000000
13-52-10-502197 | Model build started
13-52-15-088823 | Number of parameters: 2150448
13-52-15-088984 | Training started
13-54-16-404695 | TRAIN--> epoch 0 | error 592.500436
13-55-17-708688 | VAL--> epoch 1 | error 0.035483, 550.000000
13-57-23-844116 | TRAIN--> epoch 1 | error 67.258235
13-58-24-381324 | VAL--> epoch 2 | error 0.023476, 550.000000
14-00-25-554115 | TRAIN--> epoch 2 | error 35.902700
14-01-26-450140 | VAL--> epoch 3 | error 0.018350, 550.000000
14-03-25-714629 | TRAIN--> epoch 3 | error 23.450706
14-04-26-881384 | VAL--> epoch 4 | error 0.015281, 550.000000
14-06-29-509106 | TRAIN--> epoch 4 | error 16.784655
14-07-31-974528 | VAL--> epoch 5 | error 0.013249, 550.000000
14-09-33-248176 | TRAIN--> epoch 5 | error 12.851689
14-10-34-522710 | VAL--> epoch 6 | error 0.011871, 550.000000
14-12-31-571356 | TRAIN--> epoch 6 | error 10.387892
14-13-31-903600 | VAL--> epoch 7 | error 0.010894, 550.000000
14-15-34-880512 | TRAIN--> epoch 7 | error 8.765599
14-16-35-963407 | VAL--> epoch 8 | error 0.010159, 550.000000
14-18-32-265911 | TRAIN--> epoch 8 | error 7.640926
14-19-33-202842 | VAL--> epoch 9 | error 0.009605, 550.000000
14-21-28-988010 | TRAIN--> epoch 9 | error 6.820006
14-22-29-906813 | VAL--> epoch 10 | error 0.009153, 550.000000
14-24-28-998350 | TRAIN--> epoch 10 | error 6.192383
14-25-29-728545 | VAL--> epoch 11 | error 0.008774, 550.000000
14-27-26-875571 | TRAIN--> epoch 11 | error 5.697776
14-28-28-277839 | VAL--> epoch 12 | error 0.008455, 550.000000
14-30-29-422719 | TRAIN--> epoch 12 | error 5.296318
14-31-30-803908 | VAL--> epoch 13 | error 0.008177, 550.000000
14-33-25-843921 | TRAIN--> epoch 13 | error 4.961054
14-34-26-875285 | VAL--> epoch 14 | error 0.007933, 550.000000
14-36-28-710688 | TRAIN--> epoch 14 | error 4.678869
14-37-29-256645 | VAL--> epoch 15 | error 0.007729, 550.000000
14-39-25-706162 | TRAIN--> epoch 15 | error 4.434961
14-40-27-041237 | VAL--> epoch 16 | error 0.007514, 550.000000
14-42-26-944944 | TRAIN--> epoch 16 | error 4.223606
14-43-27-761103 | VAL--> epoch 17 | error 0.007347, 550.000000
14-45-29-241623 | TRAIN--> epoch 17 | error 4.037922
14-46-29-800631 | VAL--> epoch 18 | error 0.007189, 550.000000
14-48-22-836359 | TRAIN--> epoch 18 | error 3.873791
14-49-23-608099 | VAL--> epoch 19 | error 0.007038, 550.000000
14-51-21-833975 | TRAIN--> epoch 19 | error 3.726263
14-52-21-939256 | VAL--> epoch 20 | error 0.006910, 550.000000
14-54-20-170560 | TRAIN--> epoch 20 | error 3.594295
14-55-21-234227 | VAL--> epoch 21 | error 0.006773, 550.000000
14-57-25-203658 | TRAIN--> epoch 21 | error 3.474109
14-58-26-129363 | VAL--> epoch 22 | error 0.006653, 550.000000
15-00-23-788478 | TRAIN--> epoch 22 | error 3.364908
15-01-24-656807 | VAL--> epoch 23 | error 0.006544, 550.000000
15-03-23-367441 | TRAIN--> epoch 23 | error 3.265067
15-04-23-600418 | VAL--> epoch 24 | error 0.006442, 550.000000
15-06-18-456585 | TRAIN--> epoch 24 | error 3.172340
15-07-20-038278 | VAL--> epoch 25 | error 0.006337, 550.000000
15-09-19-405796 | TRAIN--> epoch 25 | error 3.087684
15-10-20-445206 | VAL--> epoch 26 | error 0.006251, 550.000000
15-12-16-966519 | TRAIN--> epoch 26 | error 3.008692
15-13-17-730079 | VAL--> epoch 27 | error 0.006168, 550.000000
15-15-12-958887 | TRAIN--> epoch 27 | error 2.935278
15-16-13-444127 | VAL--> epoch 28 | error 0.006082, 550.000000
15-18-11-922634 | TRAIN--> epoch 28 | error 2.867314
15-19-12-836534 | VAL--> epoch 29 | error 0.006014, 550.000000
15-21-15-770534 | TRAIN--> epoch 29 | error 2.803413
15-22-16-639691 | VAL--> epoch 30 | error 0.005927, 550.000000
15-24-15-054063 | TRAIN--> epoch 30 | error 2.743118
15-25-15-673904 | VAL--> epoch 31 | error 0.005849, 550.000000
15-27-15-982768 | TRAIN--> epoch 31 | error 2.686548
15-28-16-974498 | VAL--> epoch 32 | error 0.005796, 550.000000
15-30-17-589946 | TRAIN--> epoch 32 | error 2.633422
15-31-21-954900 | VAL--> epoch 33 | error 0.005710, 550.000000
15-33-25-034460 | TRAIN--> epoch 33 | error 2.583620
15-34-26-869704 | VAL--> epoch 34 | error 0.005656, 550.000000
15-36-24-071281 | TRAIN--> epoch 34 | error 2.536832
15-37-25-956380 | VAL--> epoch 35 | error 0.005602, 550.000000
15-39-28-658668 | TRAIN--> epoch 35 | error 2.492196
15-40-29-421550 | VAL--> epoch 36 | error 0.005533, 550.000000
