13-19-38-952034 | Run Id: auto_lr_low
13-19-38-952648 | Deployment notes: auto with 16 joints, root differences
13-19-38-956989 | Running mode: 0
13-19-38-959899 | Running model: autoencoder
13-19-38-961387 | Batch size: 1000
13-19-38-963596 | Sequence size: 50
13-19-38-964744 | Starting Time:13-19-38-951926
13-19-38-966018 | size of training data:100714.000000
13-19-38-967386 | size of test data:100446.000000
13-19-38-968669 | Model build started
13-19-44-077679 | Number of parameters: 2150448
13-19-44-077819 | Training started
13-19-51-444151 | TRAIN--> epoch 0 | error 3067.105261
13-20-02-151371 | VAL--> epoch 1 | error 0.192192, 100.000000
13-20-09-795348 | TRAIN--> epoch 1 | error 1928.659688
13-20-20-521395 | VAL--> epoch 2 | error 0.152266, 100.000000
13-20-27-710880 | TRAIN--> epoch 2 | error 1190.383111
13-20-38-352599 | VAL--> epoch 3 | error 0.121128, 100.000000
13-20-46-173308 | TRAIN--> epoch 3 | error 767.091207
13-20-56-926098 | VAL--> epoch 4 | error 0.099724, 100.000000
13-21-04-638762 | TRAIN--> epoch 4 | error 543.171191
13-21-15-371072 | VAL--> epoch 5 | error 0.085993, 100.000000
13-21-22-470265 | TRAIN--> epoch 5 | error 418.130795
13-21-33-191906 | VAL--> epoch 6 | error 0.076526, 100.000000
13-21-40-722649 | TRAIN--> epoch 6 | error 335.750192
13-21-51-402862 | VAL--> epoch 7 | error 0.069123, 100.000000
13-21-58-816279 | TRAIN--> epoch 7 | error 274.800877
13-22-09-564483 | VAL--> epoch 8 | error 0.062962, 100.000000
13-22-17-122248 | TRAIN--> epoch 8 | error 227.827782
13-22-27-788043 | VAL--> epoch 9 | error 0.057834, 100.000000
13-22-34-898632 | TRAIN--> epoch 9 | error 191.362429
13-22-45-608479 | VAL--> epoch 10 | error 0.053541, 100.000000
13-22-53-489348 | TRAIN--> epoch 10 | error 163.158836
13-23-04-261377 | VAL--> epoch 11 | error 0.050005, 100.000000
13-23-11-434646 | TRAIN--> epoch 11 | error 141.150442
13-23-22-207492 | VAL--> epoch 12 | error 0.047055, 100.000000
13-23-29-826302 | TRAIN--> epoch 12 | error 123.838106
13-23-40-556768 | VAL--> epoch 13 | error 0.044582, 100.000000
13-23-48-133076 | TRAIN--> epoch 13 | error 110.081712
13-23-58-943957 | VAL--> epoch 14 | error 0.042483, 100.000000
13-24-06-617891 | TRAIN--> epoch 14 | error 98.855737
13-24-17-405944 | VAL--> epoch 15 | error 0.040658, 100.000000
13-24-24-545648 | TRAIN--> epoch 15 | error 89.617660
13-24-35-338731 | VAL--> epoch 16 | error 0.039082, 100.000000
13-24-42-834639 | TRAIN--> epoch 16 | error 81.888296
13-24-53-619208 | VAL--> epoch 17 | error 0.037683, 100.000000
13-25-00-953508 | TRAIN--> epoch 17 | error 75.384372
13-25-11-725266 | VAL--> epoch 18 | error 0.036430, 100.000000
13-25-19-207638 | TRAIN--> epoch 18 | error 69.757043
13-25-29-961703 | VAL--> epoch 19 | error 0.035316, 100.000000
13-25-37-013858 | TRAIN--> epoch 19 | error 64.903609
13-25-47-725407 | VAL--> epoch 20 | error 0.034304, 100.000000
13-25-55-177647 | TRAIN--> epoch 20 | error 60.640907
13-26-05-883005 | VAL--> epoch 21 | error 0.033374, 100.000000
13-26-13-152214 | TRAIN--> epoch 21 | error 56.858077
13-26-23-889038 | VAL--> epoch 22 | error 0.032539, 100.000000
13-26-31-239947 | TRAIN--> epoch 22 | error 53.528286
13-26-42-024941 | VAL--> epoch 23 | error 0.031765, 100.000000
13-26-49-251000 | TRAIN--> epoch 23 | error 50.496608
13-27-00-035121 | VAL--> epoch 24 | error 0.031056, 100.000000
13-27-07-732657 | TRAIN--> epoch 24 | error 47.811000
13-27-18-504085 | VAL--> epoch 25 | error 0.030387, 100.000000
13-27-25-860972 | TRAIN--> epoch 25 | error 45.365030
13-27-36-642706 | VAL--> epoch 26 | error 0.029782, 100.000000
13-27-44-127175 | TRAIN--> epoch 26 | error 43.109821
13-27-54-932294 | VAL--> epoch 27 | error 0.029220, 100.000000
13-28-02-141370 | TRAIN--> epoch 27 | error 41.063741
13-28-12-907730 | VAL--> epoch 28 | error 0.028686, 100.000000
13-28-20-440989 | TRAIN--> epoch 28 | error 39.176154
13-28-31-204255 | VAL--> epoch 29 | error 0.028190, 100.000000
13-28-38-569830 | TRAIN--> epoch 29 | error 37.423997
13-28-49-329426 | VAL--> epoch 30 | error 0.027723, 100.000000
13-28-56-823134 | TRAIN--> epoch 30 | error 35.803832
13-29-07-564629 | VAL--> epoch 31 | error 0.027276, 100.000000
13-29-14-783272 | TRAIN--> epoch 31 | error 34.282574
13-29-25-565765 | VAL--> epoch 32 | error 0.026864, 100.000000
13-29-33-238757 | TRAIN--> epoch 32 | error 32.864841
13-29-44-046668 | VAL--> epoch 33 | error 0.026470, 100.000000
13-29-51-589402 | TRAIN--> epoch 33 | error 31.542834
13-30-02-400822 | VAL--> epoch 34 | error 0.026076, 100.000000
13-30-10-067619 | TRAIN--> epoch 34 | error 30.281733
13-30-20-822899 | VAL--> epoch 35 | error 0.025724, 100.000000
13-30-28-004182 | TRAIN--> epoch 35 | error 29.103814
13-30-38-809260 | VAL--> epoch 36 | error 0.025379, 100.000000
13-30-46-500530 | TRAIN--> epoch 36 | error 27.990153
13-30-57-233785 | VAL--> epoch 37 | error 0.025045, 100.000000
13-31-04-693041 | TRAIN--> epoch 37 | error 26.940204
13-31-15-510574 | VAL--> epoch 38 | error 0.024729, 100.000000
13-31-23-011117 | TRAIN--> epoch 38 | error 25.933922
13-31-33-784201 | VAL--> epoch 39 | error 0.024398, 100.000000
13-31-41-466661 | TRAIN--> epoch 39 | error 24.968795
13-31-52-208882 | VAL--> epoch 40 | error 0.024111, 100.000000
13-31-59-416839 | TRAIN--> epoch 40 | error 24.073871
13-32-10-136691 | VAL--> epoch 41 | error 0.023806, 100.000000
